CNPJ,M300(132)
00.001.172/0001-80,"581.660,80"
00.358.614/0001-40,"283.588,69"
00.631.648/0001-66,"189.668,00"
00.756.343/0001-80,"15.518,94"
01.061.837/0001-03,"5.030.126,80"
01.064.278/0001-95,"18.393,37"
01.115.948/0001-55,"18.756,02"
01.276.641/0001-36,"108.848,13"
01.279.835/0001-95,"3.110.038,03"
01.535.640/0001-69,"158.001,12"
01.710.918/0001-97,"6.776.804,80"
01.742.316/0001-11,"130.887,60"
01.755.356/0001-06,"2.368.534,56"
01.757.090/0001-22,"467.773,88"
01.761.016/0001-80,"990,38"
01.764.411/0001-16,"1.227.752,00"
01.769.569/0001-89,"1.511.674,09"
01.772.939/0001-37,"2.234,16"
01.832.291/0001-47,"698.852,53"
01.882.185/0001-78,"4.507.572,05"
01.897.509/0001-41,"2.678.478,85"
01.921.699/0001-95,"6.437.888,14"
02.010.387/0001-92,"63.703,80"
02.015.014/0001-04,"1.479.614,52"
02.131.538/0001-60,"16.728.513,35"
02.305.993/0001-35,"7.040,35"
02.344.518/0001-78,"878.532,57"
02.346.363/0001-09,"26.720,00"
02.360.605/0001-19,"1.163.133,00"
02.380.966/0001-27,"917.755,27"
02.391.395/0001-26,"947.144,24"
02.393.070/0001-82,"734,46"
02.396.921/0001-40,"289.386,58"
02.404.038/0001-55,"183.260,00"
02.428.765/0001-52,"1.043.598,00"
02.531.283/0001-23,"52.121,12"
02.539.160/0001-39,"103.838,69"
02.579.308/0001-69,"2.451.307,50"
02.856.995/0001-12,"1.376.784,78"
02.910.917/0001-59,"3.617.845,04"
03.224.045/0001-38,"3.969.747,00"
03.229.937/0001-21,"8.539.434,68"
03.384.021/0001-46,"947.068,93"
03.476.876/0001-05,"9.304.028,36"
03.521.447/0001-02,"969.130,78"
03.666.084/0001-95,"26.476,70"
03.699.194/0001-53,"6.932.867,17"
03.726.678/0001-44,"28.753,92"
03.770.169/0001-19,"4.504,00"
03.873.325/0001-77,"55.976,76"
04.182.694/0001-86,"127.081,21"
04.208.405/0001-70,"323.344,00"
04.382.099/0001-94,"2.174.889,00"
04.387.825/0001-61,"6.472.673,81"
04.400.735/0001-63,"82.137,00"
04.436.460/0001-18,"55.714,22"
04.503.707/0001-71,"106.666,40"
04.642.799/0001-70,"274.485,00"
04.832.721/0001-19,"7.850.894,31"
04.942.709/0001-67,"84.886,60"
05.113.990/0001-98,"1.223.558,50"
05.302.072/0001-07,"27.768,00"
06.122.849/0001-14,"85.166,80"
06.178.113/0001-68,"42.462,36"
06.275.598/0001-08,"3.297.206,77"
06.847.495/0001-75,"4.619.793,75"
07.603.308/0001-70,"95.096,16"
08.148.492/0001-79,"10.624,00"
08.584.526/0001-78,"2.143.772,80"
08.843.575/0001-88,"4.153.228,16"
08.843.922/0001-72,"76.404,80"
08.948.547/0001-25,"8.218,90"
09.045.758/0001-10,"4.541.281,42"
09.045.774/0001-03,"48.138,77"
09.168.704/0001-42,"803.832,60"
09.320.250/0001-83,"890,70"
09.368.242/0001-07,"33.615,31"
09.590.480/0001-62,"1.645.915,00"
09.949.314/0001-00,"213.384,96"
10.305.548/0001-01,"2.280.163,25"
10.750.065/0001-08,"21.514,24"
11.042.517/0001-60,"2.341.149,63"
11.743.564/0001-30,"2.675.265,04"
11.849.746/0001-90,"754.243,80"
11.996.667/0001-02,"10.713.458,27"
12.019.360/0001-14,"2.805.177,65"
12.186.524/0001-06,"3.287.534,70"
12.290.151/0001-00,"104.306,05"
12.347.589/0001-88,"141.286,02"
12.377.297/0001-98,"969.906,74"
12.706.990/0001-67,"9.272,00"
12.924.817/0001-35,"52.596,80"
12.926.657/0001-63,"840.751,66"
13.007.182/0001-74,"26.716,80"
13.029.459/0001-60,"3.940.773,43"
13.065.495/0001-89,"35.147,46"
13.079.397/0001-09,"4.303.371,84"
13.425.269/0001-61,"30.011.759,73"
13.476.833/0001-75,"3.224.019,97"
13.494.265/0001-35,"455.250,76"
13.810.015/0001-67,"1.270.525,78"
13.884.226/0001-44,"3.547.131,29"
13.954.433/0001-28,"18.131,14"
14.238.570/0001-29,"1.869.867,88"
14.613.673/0001-21,"89.424,00"
14.878.706/0001-65,"95.825,00"
15.122.468/0001-26,"271.443,20"
15.122.492/0001-65,"2.835.879,31"
15.199.136/0001-40,"3.195.504,14"
15.929.060/0001-60,"1.189.633,76"
15.990.708/0001-04,"2.520.305,25"
16.284.812/0001-46,"3.986,15"
16.314.163/0001-89,"3.294.514,14"
16.315.327/0001-92,"1.341.608,94"
16.395.923/0001-20,"1.492.102,27"
16.640.849/0001-60,"282.898,32"
17.184.649/0001-02,"1.907.434,88"
17.244.708/0001-90,"90.442,71"
17.247.891/0001-88,"321.192,80"
17.247.925/0001-34,"42.973.750,40"
17.270.950/0001-39,"1.229.318,06"
17.330.154/0001-44,"188,72"
19.600.758/0001-99,"59.623,65"
19.871.375/0001-55,"14.259.430,85"
20.060.471/0001-00,"4.319.048,20"
20.480.448/0001-67,"370.915,20"
20.672.507/0001-07,"44.814,64"
20.751.657/0001-06,"8.962,93"
21.575.063/0001-46,"6.613.815,22"
23.970.247/0001-36,"141.305,64"
24.294.209/0001-73,"936.690,93"
24.612.251/0001-95,"2.725.021,57"
24.780.405/0001-58,"1.392.965,70"
24.862.914/0001-20,"1.471.384,18"
24.993.164/0001-25,"2.437.617,19"
25.166.281/0001-88,"5.526.349,58"
25.288.333/0001-99,"6.862.923,96"
25.630.013/0001-75,"109.347,72"
25.630.153/0001-43,"16.799,79"
25.631.672/0001-26,"11.533.001,60"
25.638.206/0001-72,"136.416,00"
25.640.004/0001-65,"4.741.208,34"
25.649.179/0001-33,"11.489.808,80"
26.197.988/0001-14,"202.489,87"
26.232.603/0001-02,"27.714,96"
26.770.404/0001-58,"705.101,59"
27.063.726/0001-20,"9.323.109,32"
27.237.981/0001-41,"151.788,00"
27.419.100/0001-03,"4.632.380,02"
27.646.975/0001-48,"202.564,00"
27.865.757/0001-02,"467.659.613,30"
27.906.734/0001-90,"8.255.520,08"
28.141.737/0001-43,"107.614,05"
28.485.076/0001-73,"123.753,30"
28.874.055/0001-40,"903.288,78"
29.060.043/0001-44,"325.901,06"
29.341.120/0001-34,"565.272,60"
30.913.990/0001-10,"966.316,00"
31.296.882/0001-08,"13.198.278,66"
31.494.693/0001-40,"2.039.826,82"
31.980.600/0001-97,"4.329.045,26"
32.417.164/0001-05,"12.298,69"
32.418.014/0001-16,"15.472,80"
32.435.315/0001-58,"1.420.602,60"
32.465.841/0001-60,"1.795.984,64"
33.066.234/0001-90,"505.059,96"
33.300.914/0001-27,"388.988,05"
33.544.040/0001-53,"91.661,20"
43.837.392/0001-50,"5.125,75"
43.915.172/0001-06,"6.417.979,30"
43.924.497/0001-47,"605.297,47"
43.944.370/0001-90,"1.114.378,83"
44.060.192/0001-05,"3.601.285,20"
45.008.745/0001-35,"870,56"
45.033.859/0001-35,"11.373.497,86"
45.039.237/0001-14,"41.612.710,21"
45.061.009/0001-40,"49.420,80"
46.088.993/0001-04,"57.504,61"
46.242.004/0001-87,"53.886.252,34"
46.566.444/0001-90,"344.322,67"
46.721.148/0001-16,"1.187.119,79"
47.516.661/0001-38,"1.247.359,11"
48.060.727/0001-90,"2.798.075,52"
48.665.517/0001-26,"615.619,90"
49.236.300/0001-63,"60.478,00"
49.403.371/0001-03,"1.184.711,27"
49.931.645/0001-37,"608.540,82"
50.023.373/0001-56,"11.451.927,21"
50.609.973/0001-09,"730.753,53"
51.882.850/0001-00,"2.105,86"
52.388.865/0001-70,"67.204,00"
54.022.488/0001-87,"964.697,06"
54.065.370/0001-36,"2.188.570,04"
54.313.556/0001-67,"1.433.825,78"
54.313.564/0001-03,"933.039,23"
54.365.267/0001-01,"45.986,40"
55.629.216/0001-02,"850.566,91"
55.679.260/0001-27,"88.383,00"
56.407.083/0001-92,"10.526.472,01"
57.712.762/0001-38,"28.332,92"
58.018.441/0001-09,"1.022.384,52"
58.178.393/0001-08,"46.436,19"
58.780.453/0001-68,"15.227.521,88"
58.832.528/0001-07,"158.953,57"
58.833.997/0001-40,"13.051.403,19"
59.152.629/0001-08,"8.211.677,63"
59.983.486/0001-78,"1.248.187,88"
60.194.503/0001-77,"15.626,38"
60.509.072/0001-90,"2.117.151,34"
60.509.239/0001-13,"15.395.237,90"
60.628.369/0001-75,"32.097.258,00"
60.628.922/0001-70,"1.039.162,37"
60.694.239/0001-30,"5.286.291,00"
61.784.500/0001-56,"54.322,20"
62.589.932/0001-79,"31.458,98"
67.344.440/0001-37,"5.420.932,29"
68.025.535/0001-50,"173.460,00"
68.737.857/0001-22,"61.663.428,68"
75.387.274/0001-84,"382.083,83"
75.635.425/0001-76,"72.635,86"
76.012.145/0001-74,"224.913,60"
76.243.625/0001-46,"3.081.027,98"
76.368.240/0001-05,"994.089,60"
76.491.471/0001-01,"102.645,08"
76.494.806/0001-45,"49.243.306,54"
76.498.864/0001-47,"39.705,98"
76.554.757/0001-99,"2.046.261,14"
76.600.188/0001-70,"6.450.337,40"
76.851.492/0001-90,"2.107.510,58"
77.070.332/0001-77,"344.920,00"
77.088.235/0001-01,"92.280,78"
77.689.032/0001-70,"2.407.466,92"
77.827.673/0001-44,"1.640.876,32"
77.969.145/0001-20,"768.468,76"
78.647.633/0001-83,"1.087.060,80"
78.712.056/0001-66,"47.275,27"
78.837.515/0001-38,"6.396,00"
79.107.918/0001-94,"1.739.406,66"
79.135.760/0001-66,"7.925.284,92"
79.224.614/0001-07,"85.338,80"
79.419.289/0001-38,"28.089,41"
79.469.813/0001-85,"518.550,00"
79.845.830/0001-70,"2.004.686,77"
79.875.902/0001-21,"2.394.148,40"
80.146.202/0001-85,"3.603,20"
80.242.720/0001-00,"4.539.696,89"
80.430.317/0001-05,"58.188,93"
80.548.332/0001-44,"398.131,20"
80.583.941/0001-34,"1.381.347,64"
80.592.488/0001-22,"1.090.623,60"
80.746.647/0001-04,"613.722,40"
80.774.391/0001-30,"91.776,00"
80.830.334/0001-21,"4.703.662,53"
80.830.573/0001-81,"189.380,00"
81.034.977/0001-21,"2.779.481,15"
81.057.994/0001-84,"307.068,15"
81.670.085/0001-17,"51.163,20"
82.611.617/0001-08,"5.661.305,39"
82.645.029/0001-95,"6.852.585,92"
82.916.503/0001-76,"3.665.822,21"
83.093.708/0001-61,"16.260,91"
83.688.457/0001-68,"84.730,06"
83.844.811/0001-04,"23.440,00"
83.879.239/0001-00,"39.753,23"
83.900.050/0001-52,"210.115,86"
84.684.505/0001-02,"34.243,60"
87.185.468/0001-86,"1.711.393,23"
87.463.535/0001-87,"1.370.920,59"
87.519.237/0001-61,"1.626.371,59"
87.750.121/0001-39,"1.495.879,73"
87.978.771/0001-36,"257.883,96"
88.404.645/0001-30,"1.501.583,89"
89.294.565/0001-32,"3.239.783,03"
89.424.113/0001-28,"1.342.700,71"
89.972.988/0001-64,"161.248,04"
90.522.491/0001-23,"10.442,48"
90.705.690/0001-77,"2.838.419,64"
90.721.994/0001-28,"648.970,01"
90.985.672/0001-96,"12.317,29"
91.043.687/0001-06,"196.620,29"
91.050.377/0001-00,"14.852,76"
91.272.286/0001-10,"23.923,94"
91.400.051/0001-66,"49.779,97"
91.665.570/0001-56,"37.280,00"
91.903.963/0001-50,"24.195,67"
91.903.989/0001-07,"222.709,65"
91.904.003/0001-05,"12.146,61"
91.904.029/0001-53,"34.340,97"
92.053.198/0001-90,"25.542,00"
92.236.314/0001-06,"3.346.735,43"
93.088.367/0001-90,"2.068.567,36"
95.607.909/0001-19,"3.231.038,98"
95.778.395/0001-64,"15.445,61"
